ID Registro,Núcleo temático,Categoria,Título padronizado,Link da imagem,Descrição objetiva,Material / suporte,Características visuais,Data / período
GROSS-001,Comunicação e Imaginário Médico,Publicidade farmacêutica,Heparegene – anúncio de hepatoprotetor,imagens/GROSS001.jpeg,"Peça publicitária do medicamento Heparegene, com argumento de autoridade laboratorial e associação visual entre o fígado humano e o universo técnico-científico.",Impresso publicitário,"Composição gráfica com ilustração anatômica estilizada, tipografia destacada e embalagem do produto.",década de 1980
GROSS-002,Comunicação e Imaginário Médico,Publicidade farmacêutica,Atroveran – anúncio institucional de produto,imagens/GROSS002.jpg,"Peça publicitária do medicamento Airoveran, com ênfase em reputação, confiança e sucesso terapêutico.",Impresso publicitário,"Fotografia de embalagem, frasco e conta-gotas, com fundo escuro e tipografia em alto contraste.",década de 1970
GROSS-003,Comunicação e Imaginário Médico,Publicidade farmacêutica,Ozonyl Expectorante – anúncio publicitário,imagens/GROSS003.jpeg,"Peça publicitária do medicamento Ozonyl Expectorante, associando natureza, fluidez e ação terapêutica respiratória.",Impresso publicitário,Ilustração de frasco com paisagem natural no interior e composição gráfica simbólica.,década de 1970
GROSS-004,Comunicação e Imaginário Médico,Publicidade farmacêutica,Vagostesyl – anúncio publicitário,imagens/GROSS004.jpeg,"Peça publicitária do medicamento Vagostesyl, destacando seu efeito calmante e sua associação com elementos naturais brasileiros.",Impresso publicitário,"Fotografia de frutos e folhas sobre fundo escuro, com tipografia institucional.",década de 1970
GROSS-005,Memória Institucional,Peça comemorativa,Laboratório Gross Cinquentenário,imagens/GROSS005.jpeg,"Peça gráfica institucional comemorativa dos 50 anos do Laboratório Gross, enfatizando identidade visual e longevidade da marca.",Impresso gráfico,"Fundo vermelho, grafismo circular com serpente estilizada e tipografia centralizada.",década de 1990
GROSS-006,Memória Institucional,Registro institucional,Fotografia de evento institucional com estande de produtos,imagens/GROSS006.jpg,"Registro fotográfico de evento institucional do Laboratório Gross, com apresentação de produtos, estande expositivo e equipe.",Fotografia,Imagem em preto e branco de montagem expositiva com painéis e mesas de divulgação.,s.d.
GROSS-007,Memória Institucional,Registro social,Fotografia de grupo em atividade social ou comunitária,imagens/GROSS007.jpg,"Registro fotográfico de grupo com crianças e adultos, possivelmente vinculado a ação social, comunitária ou institucional relacionada ao laboratório.",Fotografia,Imagem em preto e branco com grupo posicionado ao ar livre.,s.d.
GROSS-008,Memória Institucional,Registro institucional,Fotografia de cerimônia ou premiação interna,imagens/GROSS008.jpg,"Registro fotográfico de cerimônia formal associada ao Laboratório Gross, com presença de equipe e possível premiação ou homenagem.",Fotografia,Imagem em preto e branco com moldura gráfica e composição centralizada.,s.d.
GROSS-009,Memória Institucional,Registro institucional,Fachada da fábrica do Laboratório Gross,imagens/GROSS009.jpg,"Registro da fachada da unidade fabril do Laboratório Gross no Rio de Janeiro, evidenciando sua inserção urbana e sua materialidade arquitetônica.",Fotografia,Fotografia em preto e branco de edifício industrial com identificação da fábrica.,s.d.
GROSS-010,Memória Institucional,Documento societário,"Certificado de ações – Laboratório Brasileiro de Quimioterapia, Produtos Laboterápicos S.A.",imagens/GROSS010.jpg,"Certificado representativo de ações da empresa, com informações de capital social, titularidade e formalização societária.",Documento impresso,"Moldura ornamental, tipografia formal e preenchimento manuscrito.",1945
GROSS-011,Memória Institucional,Documento cartorial,Certidão do 14º Ofício de Notas referente ao Laboratório Gross S.A.,imagens/GROSS011.jpeg,"Documento cartorial referente a escritura envolvendo o Laboratório Gross S.A., com identificação de partes, livro, folhas e data de registro.",Documento impresso,"Tipografia formal, carimbo institucional e campos preenchidos manualmente.",1952
GROSS-012,Memória Institucional,Documento societário,Título múltiplo de ações – Laboratório Gross S.A.,imagens/GROSS012.jpg,"Documento acionário representativo da estrutura societária do Laboratório Gross S.A., com indicação de número de ações e capital integralizado.",Documento impresso,"Moldura gráfica, tipografia formal e preenchimento manuscrito.",1946
GROSS-013,Memória Institucional,Correspondência institucional,Carta comercial do Laboratório Gross,imagens/GROSS013.jpg,"Correspondência institucional do Laboratório Gross tratando de assuntos comerciais, internacionais e administrativos da empresa.",Documento impresso,Texto datilografado em papel timbrado com assinatura manuscrita.,1954
GROSS-014,Memória Institucional,Documento societário,Certificado de ações com cupons destacáveis – Laboratório Gross S.A.,imagens/GROSS014.jpg,Documento societário com cupons destacáveis vinculados ao rendimento ou controle de ações do Laboratório Gross S.A.,Documento impresso,Peça gráfica com moldura decorativa e área destacável em módulos.,1946
GROSS-015,Memória Institucional,Documento jurídico,Certidão de constituição da sociedade Laboratório Gross Ltda.,imagens/GROSS015.jpg,"Documento de natureza cartorial referente à constituição da sociedade Laboratório Gross Ltda., com identificação dos sócios fundadores e dados legais.",Documento impresso,"Texto datilografado, marcas de envelhecimento e dobra do papel.",1941
